RecordType,Item,Manufacturer,Description,Quantity,SerialNumber
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103986TE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH104089FN
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10488KZ2
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10509T38
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10518HQS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11019KR0
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A2M3
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A3KG
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A3TX
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11188729
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11188ACT
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111985P3
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111985R3
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11198C37
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11198H3V
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11198ZWA
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11199JVT
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328BZH
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328C05
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328CGE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328DD5
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11348WDQ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11348Y3C
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH113597F4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A5WY
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141BG9L
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1147AK96
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11489KC9
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11528MZL
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12219QCC
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12219T1E
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1222AEVF
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12278MQR
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1227B2N0
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499VB4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1335ACFE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM083719MA
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08391DGA
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM084418EK
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08441J8N
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM084519JD
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM094425GV
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH09478HPP
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10138B8Q
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10149ZNJ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH101880BU
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10328LHM
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103984JZ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103984NV
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103985GS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH104089YZ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10408CCM
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10509QSA
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10519QM3
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11018J89
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1116990S
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11179ZM7
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A0K2
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A3KU
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A3QT
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111985Q4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1119866J
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11198HVR
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH112294EY
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AG2U
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AGTS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AGU8
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328BY6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328C7J
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328C7Z
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328CR6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328D4M
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328E9W
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328EVL
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11348B0V
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH113597HE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11368T84
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11368UES
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11379T9D
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11379X0A
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11379Y44
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A01P
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A4BX
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A7T4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141BGA5
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH114788Z0
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11488BZV
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11488PAS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11489JX2
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11489K21
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11489KGC
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH120192K4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12058053
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1218E6GN
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12228EQJ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1222AEKP
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1222AEUB
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1223A8XY
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1223AAV6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12268HAY
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499PQE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499UYM
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1335AC5P
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08421UKP
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM084413BQ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM084415D5
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08441HV2
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH094791WY
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10118JGS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH102185XJ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103984SS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103985R7
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103985T2
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103986JR
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103986LX
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10408A72
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10408BR8
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10509RSY
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10518JS1
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10518N5C
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11019M9E
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A2M8
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A2V2
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A3QU
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111888Z6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111889UE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11198627
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111991CL
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11199JVW
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11199PLS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11199PYT
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH112294R7
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11308NH9
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131ADWH
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AEEK
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AEK8
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AFAR
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AFEV
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AFFF
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AFLQ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AGL6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1131AGM1
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328CC1
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328CN6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328CWE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328D97
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328DV9
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328EXC
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11348BPS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11368XAM
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11379XU9
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A3HK
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A3N1
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11488BEH
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11488NT6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11488NXP
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12058121
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH120583P0
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1214F7A0
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1217DPXT
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12218CSZ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12219Q6R
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12228G6V
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12268HVS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1227907M
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12288DQN
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12288DRV
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1335AAJF
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08411081
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08431DU3
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM084516D6
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH094791WU
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1015871W
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10158CF0
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10168X43
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10188RA3
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10209H7K
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10378BMG
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103984NZ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103985KH
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH103985Q7
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10398A2P
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH10408CHW
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11018J7U
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11179ZU4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A2FS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A2G0
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A2HX
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A2LR
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A363
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A3FZ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1117A3Q1
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111887L5
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11188AEH
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111985Q3
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH111991NP
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11199JWU
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH112295ER
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH112295FD
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11308Q4C
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11328EWP
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11348XC5
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1135983J
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH11368UDF
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A1WU
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A3GQ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A7S4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141A82E
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1141BGGL
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12029JQM
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12029KS4
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1205847A
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1214FTGS
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1214FV7F
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1218E9GE
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1218E9HD
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1223ABAQ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12268J4J
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499PQA
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499R6L
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499RE7
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499S7M
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH12499UGP
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,FCH1335AC3J
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM083915PX
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08431F3L
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08441KSH
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08441LYK
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM08441MZN
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM084518EQ
S,CP-7960G,CISCO,CISCO IP PHONE 7960G; GLOBAL,1,INM084518RB
S,CP-7961G,CISCO,7961 IP PHONE,1,DDSC11002076
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10038ARJ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10048EBP
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10048F6N
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10048GYD
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10048H1Y
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1005861X
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH100586B5
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068K2F
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068KKQ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068KNT
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068KX0
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068L24
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068M6X
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068MKE
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068NHG
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10068NYC
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH100783YV
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10078400
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH100784PZ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH100785X1
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1007865L
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10078662
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH100786F7
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH100787QR
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1009822S
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10098P0Z
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10098P4W
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10098P6W
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10098PJS
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10098PND
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10098PWA
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108045
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108EYZ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108EZ4
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108F8Z
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108G5J
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108G5S
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108GBY
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10108GCQ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118NMA
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118NTX
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118PP4
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118PQ0
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118Q05
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118QB6
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118QCF
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118RMU
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118SKC
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118TD0
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118TKA
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118TM3
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118V62
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118VER
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118VNE
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10118W4B
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH101280NT
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1012827X
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH101282BG
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH101282G2
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH101283AU
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH101285CQ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014A3VC
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014A67J
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014A72T
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014A732
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014A77F
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014A7F1
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014A7QK
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014AFK8
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014AG2S
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1014AJVA
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10499SPF
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10508MYP
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10508MZK
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH105090RY
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH105098G9
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH105099WQ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH105099XJ
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10509Z0J
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10509ZWK
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1050AB3P
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1050AB43
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1050ADAK
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1050AF0K
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1050AF0N
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH1051823P
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH10538SVM
S,CP-7961G,CISCO,7961 IP PHONE,1,FCH110193YJ
